1,T-01,Algeria,DZA,Algerian Football Federation,Africa
2,T-02,Angola,AGO,Angolan Football Federation,Africa
3,T-03,Argentina,ARG,Argentine Football Association,South America
4,T-04,Australia,AUS,Football Australia,Oceania
5,T-05,Austria,AUT,Austrian Football Association,Europe
6,T-06,Belgium,BEL,Royal Belgian Football Association,Europe
7,T-07,Bolivia,BOL,Bolivian Football Federation,South America
8,T-08,Bosnia and Herzegovina,BIH,Football Association of Bosnia and Herzegovina,Europe
9,T-09,Brazil,BRA,Brazilian Football Confederation,South America
10,T-10,Bulgaria,BGR,Bulgarian Football Union,Europe
11,T-11,Cameroon,CMR,Cameroonian Football Federation,Africa
12,T-12,Canada,CAN,Canadian Soccer Association,North America
13,T-13,Chile,CHL,Football Federation of Chile,South America
14,T-14,China,CHN,Chinese Football Association,East Asia
15,T-15,Colombia,COL,Colombia Football Federation,South America
16,T-16,Costa Rica,CRI,Costa Rican Football Federation,Central America
17,T-17,Croatia,HRV,Croatian Football Federation,Europe
18,T-18,Cuba,CUB,Football Association of Cuba,Caribbean
19,T-19,Czech Republic,CZE,Football Association of the Czech Republic,Europe
20,T-20,Czechoslovakia,CSK,Football Association of the Czechoslovakia,Europe
21,T-21,Denmark,DNK,Danish Football Association,Europe
22,T-22,Dutch East Indies,IDN,Football Association of Indonesia,South East Asia
23,T-23,East Germany,DDR,Football Association of East Germany,Europe
24,T-24,Ecuador,ECU,Ecuadorian Football Federation,South America
25,T-25,Egypt,EGY,Egyptian Football Association,Africa
26,T-26,El Salvador,SLV,Salvadorian Football Federation,Central America
27,T-27,England,ENG,The Football Association,Europe
28,T-28,France,FRA,French Football Association,Europe
29,T-29,Germany,DEU,Germany Football Association,Europe
30,T-30,Ghana,GHA,Ghana Football Association,Africa
31,T-31,Greece,GRC,Hellenic Football Associaiton,Europe
32,T-32,Haiti,HTI,Haitian Football Federation,Caribbean
33,T-33,Honduras,HND,National Autonomous Federation of Football of Honduras,Central America
34,T-34,Hungary,HUN,Hungary Football Association,Europe
35,T-35,Iceland,ISL,Football Association of Iceland,Europe
36,T-36,Iran,IRN,Football Federation Islamic Republic of Iran,Middle East
37,T-37,Iraq,IRQ,Iraq Football Association,Middle East
38,T-38,Israel,ISR,Israel Football Association,Middle East
39,T-39,Italy,ITA,Italian Football Association,Europe
40,T-40,Ivory Coast,CIV,Ivorian Football Federation,Africa
41,T-41,Jamaica,JAM,Jamaica Football Federation,Caribbean
42,T-42,Japan,JPN,Japan Football Association,East Asia
43,T-43,Kuwait,KWT,Kuwait Football Association,Middle East
44,T-44,Mexico,MEX,Mexican Football Federation,North America
45,T-45,Morocco,MAR,Royal Moroccan Football Federation,Africa
46,T-46,Netherlands,NLD,Royal Dutch Football Association,Europe
47,T-47,New Zealand,NZL,New Zealand Football,Oceania
48,T-48,Nigeria,NGA,Nigeria Football Federation,Africa
49,T-49,North Korea,PRK,Democratic People's Republic of Korea Football Association,East Asia
50,T-50,Northern Ireland,NIR,Irish Football Association,Europe
51,T-51,Norway,NOR,Norwegian Football Federation,Europe
52,T-52,Panama,PAN,Panamanian Football Federation,Central America
53,T-53,Paraguay,PRY,Paraguayan Football Association,South America
54,T-54,Peru,PER,Peruvian Football Association,South America
55,T-55,Poland,POL,Polish Football Association,Europe
56,T-56,Portugal,PRT,Portuguese Football Federation,Europe
57,T-57,Qatar,QAT,Qatar Football Association,Middle East
58,T-58,Republic of Ireland,IRL,Football Association of Ireland,Europe
59,T-59,Romania,ROU,Romanian Football Federation,Europe
60,T-60,Russia,RUS,Russian Football Union,Europe/Asia
61,T-61,Saudi Arabia,SAU,Saudi Arabian Football Association,Middle East
62,T-62,Scotland,SCO,Scottish Football Association,Europe
63,T-63,Senegal,SEN,Senegalese Football Federation,Africa
64,T-64,Serbia,SRB,Football Association of Serbia,Europe
65,T-65,Serbia and Montenegro,SCG,Football Association of Serbia and Montenegro,Europe
66,T-66,Slovakia,SVK,Slovak Football Association,Europe
67,T-67,Slovenia,SVN,Football Association of Slovenia,Europe
68,T-68,South Africa,ZAF,South African Football Associaiton,Africa
69,T-69,South Korea,KOR,Korea Football Association,East Asia
70,T-70,Soviet Union,SUN,Football Federation of the Soviet Union,Europe/Asia
71,T-71,Spain,ESP,Royal Spanish Football Federation,Europe
72,T-72,Sweden,SWE,Swedish Football Association,Europe
73,T-73,Switzerland,CHE,Swiss Football Association,Europe
74,T-74,Togo,TGO,Togolese Football Federation,Africa
75,T-75,Trinidad and Tobago,TTO,Trinidad and Tobago Football Assocaition,Caribbean
76,T-76,Tunisia,TUN,Tunisian Football Federation,Africa
77,T-77,Turkey,TUR,Turkish Football Association,Europe/Asia
78,T-78,Ukraine,UKR,Ukrainian Association of Football,Europe
79,T-79,United Arab Emirates,ARE,United Arab Emirates Football Association,Middle East
80,T-80,United States,USA,United States Soccer Federation,North America
81,T-81,Uruguay,URY,Uruguayan Football Association,South America
82,T-82,Wales,WAL,Football Association of Wales,Europe
83,T-83,West Germany,DEU,Germany Football Association,Europe
84,T-84,Yugoslavia,YUG,Football Association of Yugoslavia,Europe
85,T-85,Zaire,COD,Congolese Association Football Federation,Africa
